name,strategy_type,dataset_mode,freq,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,trade_count
BB_all_60min_40_2.0,BB,all,60min,-0.039356586454243336,0.044731977862163506,-0.8798311260797851,-0.8420162751922058,4264
BB_day_30min_20_1.5,BB,day,30min,-0.08278148953647868,0.0910864181208589,-0.9088236341299453,-0.829844497366248,7700
BB_day_15min_60_2.0,BB,day,15min,-0.060772588856688015,0.06175204034823219,-0.9841389614655508,-0.6747243171434176,5366
BB_all_15min_100_2.5,BB,all,15min,-0.03426021924889833,0.03372213905688921,-1.015956288867126,-0.766966636830813,5324
BB_day_15min_20_1.5,BB,day,15min,-0.09840017860844108,0.09635603014717281,-1.0212145359054963,-0.8574944388572757,14067
BB_all_10min_100_3.0,BB,all,10min,-0.030464741183404143,0.029741013831888426,-1.0243343201279753,-0.7199426294051972,5409
BB_day_10min_100_2.5,BB,day,10min,-0.04531707766737203,0.04263196060638036,-1.0629836634956407,-0.5588336570470409,3245
BB_all_30min_40_2.0,BB,all,30min,-0.05058995266927546,0.04660930172233472,-1.085404646708819,-0.8970182723046795,8234
BB_all_30min_60_2.0,BB,all,30min,-0.055821778302577285,0.04648584738440304,-1.2008338331658903,-0.9184358639520988,6280
BB_day_15min_40_2.0,BB,day,15min,-0.07910531620747396,0.06475250797571261,-1.2216564065309226,-0.7749657853591603,6597
BB_all_15min_60_2.0,BB,all,15min,-0.06122354888850878,0.049479683559794436,-1.237347219784102,-0.9221357617450726,13348
BB_all_30min_20_2.0,BB,all,30min,-0.059269857389008695,0.04738450920189423,-1.2508277153715743,-0.9256757398370504,12355
BB_all_30min_20_1.5,BB,all,30min,-0.08235163040148774,0.06455831062698074,-1.275616254541064,-0.9732140184666034,17976
BB_all_10min_100_2.5,BB,all,10min,-0.04918756475514752,0.03783184329970275,-1.3001630495634344,-0.8677644560597758,9446
BB_day_15min_20_2.0,BB,day,15min,-0.08859334803833396,0.06487391078537605,-1.3656236685256962,-0.8102273136065412,9794
